Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2014-15,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),10,12.5,10.9,,,
Winter 2015-16,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),8.3,11,9.4,,,
Winter 2016-17,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),8,10.4,9,,,
Winter 2017-18,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),8.2,11.5,9.6,,,
Winter 2018-19,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),7.4,12.3,9.3,,,
Summer 2013,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),9.5,10.8,10.1,,,
Summer 2014,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.5,9.1,8.2,,,
Summer 2015,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),8.5,10.1,9.2,,,
Summer 2016,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.9,8.7,7.8,,,
Summer 2017,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),8.1,9.7,8.8,,,
Summer 2018,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.8,8.9,8.3,,,
Summer 2019,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.1,8.7,7.7,,,
Winter 2013-14,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),10.1,12.5,11.2,,,
Winter 2014-15,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.9,9.9,8.9,,,
Winter 2015-16,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.7,8.6,7.6,,,
Winter 2016-17,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.4,8.6,8,,,
Winter 2017-18,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.3,8.6,7.9,,,
Winter 2018-19,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.5,8.1,7.1,,,
Summer 2013,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),8.9,9.9,9.3,,,
Summer 2014,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.3,8.5,7.8,,,
Summer 2015,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),8.2,9.3,8.7,,,
Summer 2016,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.3,8.5,7.8,,,
