Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2016,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.8,8.3,8.1,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.5,9.1,8.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8,8.3,8.2,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.7,8.1,7.9,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.4,9,8.7,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.7,8.6,8.2,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.5,7.8,7.6,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.1,8.6,8.4,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),6.7,7.2,6.9,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),8.4,9.9,9,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.3,8.7,7.8,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),8,9.5,8.5,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.6,8.8,8.1,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.3,8.4,7.7,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.8,9.4,8.4,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.8,8.8,7.6,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.2,8.4,7.6,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.4,8.8,7.9,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.3,7.5,6.7,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),9.8,10.2,10,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.4,8.9,8.7,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),9.7,10.1,9.9,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.7,9.3,8.9,,,
Summer 2019,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.1,8.3,8.2,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),10,10.5,10.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.2,8.7,8.4,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.1,8.5,8.3,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),8.2,8.8,8.4,,,
Winter 2018-19,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),7.4,7.8,7.6,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),10.5,13.5,12,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.3,12.2,10.8,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),10.3,12.3,11.3,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.3,13.5,11.3,,,
Summer 2019,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.4,13.3,11.2,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),10.5,13.7,12.1,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.4,11.9,10.7,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),8.6,11.5,10.1,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.5,13.2,11.2,,,
Winter 2018-19,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Fine Particulate Matter (PM2.5),9.3,14.6,11.8,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),8.4,9.1,8.8,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.4,8,7.7,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.9,8.5,8.2,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.6,8.1,7.9,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.3,7.9,7.6,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.8,8.4,8.1,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),6.6,7.5,7,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.1,7.6,7.4,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.5,8.1,7.8,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),6.3,7,6.7,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),9.8,11,10.3,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),8.2,9.4,8.8,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),9.5,10.7,10.1,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),8.5,9.3,8.9,,,
Summer 2019,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),7.9,8.7,8.3,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),10,11.3,10.7,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),8.2,9.5,8.8,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),8.2,9.2,8.6,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),8.1,8.9,8.5,,,
Winter 2018-19,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Fine Particulate Matter (PM2.5),7.3,8.6,7.9,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),9.6,11.2,10.3,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),8.5,10.1,9.2,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),9.5,11.1,10.1,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),8.4,9.5,8.9,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),8.3,9.7,8.9,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),9.3,11,10.1,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),9.1,10.8,9.8,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),7.9,9.3,8.5,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),8.8,10,9.4,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),7.5,8.9,8.2,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),9,9.6,9.3,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.8,8.4,8.1,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),8.6,9.3,8.9,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),8,8.5,8.3,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.7,8.1,7.9,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),8.5,9.2,8.8,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.9,8.8,8.4,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.5,8.1,7.8,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),8.1,8.7,8.4,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),6.7,7.1,6.9,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),9.9,10.5,10.2,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.6,9.2,8.9,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),9.8,10.3,10.1,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.4,9.1,8.7,,,
Summer 2019,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.1,8.5,8.3,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),10,10.6,10.3,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.3,8.9,8.6,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.2,8.7,8.4,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),8.1,8.8,8.4,,,
Winter 2018-19,Neighborhood (UHF 42),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),7.5,8.1,7.8,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.8,10.7,9.5,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.6,9.4,8.3,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.4,10.1,9.1,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8,8.9,8.4,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.6,8.5,8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.5,10.2,9.1,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.7,9.5,8.4,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.5,9.1,8.1,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.7,8.7,8.2,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),6.7,7.7,7.2,,,
Summer 2015,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),8.8,10.2,9.3,,,
Summer 2016,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.2,8.8,7.8,,,
Summer 2017,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),8.4,9.8,8.9,,,
Summer 2018,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.9,9.3,8.3,,,
Summer 2019,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.2,8.8,7.8,,,
Winter 2014-15,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),8.7,10.2,9.2,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.2,8.6,7.7,,,
Winter 2016-17,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.6,8.8,8,,,
Winter 2017-18,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.5,8.9,7.9,,,
Winter 2018-19,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),6.6,8.3,7.2,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),9.4,10.1,9.7,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),7.6,8.5,8.1,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),9,9.8,9.4,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),8.2,8.9,8.6,,,
Summer 2019,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),7.6,8.1,7.8,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),9.8,10.6,10.2,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),8,8.7,8.3,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),7.8,8.4,8.1,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),8,8.6,8.2,,,
Winter 2018-19,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),6.9,7.6,7.2,,,
Summer 2015,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),8.7,9.6,9.1,,,
Summer 2016,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.2,8.1,7.6,,,
Summer 2017,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),8.3,9.1,8.6,,,
Summer 2018,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.9,8.2,8,,,
Summer 2019,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.2,7.5,7.3,,,
Winter 2014-15,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),8.5,9.3,8.8,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.1,8,7.5,,,
Winter 2016-17,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.6,8.2,7.8,,,
Winter 2017-18,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),7.5,7.7,7.6,,,
Winter 2018-19,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Fine Particulate Matter (PM2.5),6.5,7.2,6.8,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),11.2,13.6,12.5,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),9.9,12.2,11.2,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),10.6,12.2,11.5,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),10,13.3,11.6,,,
Summer 2019,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),9.7,12.7,11.1,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),11.2,13.7,12.6,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),9.9,11.9,11,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),9.3,11.5,10.5,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),10,13,11.5,,,
Winter 2018-19,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Fine Particulate Matter (PM2.5),9.7,13.8,11.7,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),10.3,11.8,11,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),9.2,10.6,9.8,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),10.2,11.5,10.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),9.1,10.8,9.8,,,
Summer 2019,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.8,11.3,9.9,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),10.2,11.6,10.8,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),9.6,10.9,10.2,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.6,10.1,9.3,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),9.4,10.9,10.1,,,
Winter 2018-19,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.1,10.5,9.2,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),10.4,11.5,11,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.2,10.3,9.8,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),10.2,11,10.7,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.2,10.4,9.9,,,
Summer 2019,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.9,11.8,10.8,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),10.4,11.4,11,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.6,10.7,10.2,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),8.5,9.5,9.1,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.6,10.6,10.2,,,
Winter 2018-19,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Fine Particulate Matter (PM2.5),9.9,12.4,11,,,
Summer 2015,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),9.8,10.8,10.3,,,
Summer 2016,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8.4,9.4,8.8,,,
Summer 2017,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),9.7,10.7,10.1,,,
Summer 2018,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8.8,9.3,9.1,,,
Summer 2019,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8,8.7,8.3,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),10.1,11.1,10.6,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8.3,9.3,8.7,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8.2,9.1,8.6,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),8.3,8.9,8.6,,,
Winter 2018-19,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Fine Particulate Matter (PM2.5),7.3,8.4,7.8,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),8.8,11.7,10.3,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.5,10.3,9,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),8.7,11.5,10.2,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.8,10.5,9.2,,,
Summer 2019,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.3,10.1,8.7,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),8.9,11.8,10.5,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.2,10.1,8.8,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.4,10.1,8.8,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),7.3,10.1,8.8,,,
Winter 2018-19,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Fine Particulate Matter (PM2.5),6.5,9.4,8,,,
Summer 2015,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),8.7,9.6,9.1,,,
Summer 2016,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7.1,8.1,7.6,,,
Summer 2017,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),8.3,9.1,8.6,,,
Summer 2018,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),8,8.7,8.3,,,
Summer 2019,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7.2,8,7.5,,,
Winter 2014-15,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),8.2,9.1,8.6,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7,7.9,7.4,,,
Winter 2016-17,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7.6,8.4,7.9,,,
Winter 2017-18,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7.4,8.2,7.7,,,
Winter 2018-19,Neighborhood (UHF 42),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),6.5,7.5,6.9,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),9.2,10.4,9.6,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),7.5,8.7,8,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),9.1,10.1,9.5,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),7.9,8.8,8.3,,,
Summer 2019,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),7.5,8.3,7.8,,,
