Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (absorbance units),90th Percentile (absorbance units),Mean (absorbance units),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2013-14,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Black Carbon,1.1,1.6,1.4,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Black Carbon,0.9,1.3,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Black Carbon,0.8,1.3,1,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Black Carbon,0.8,1.1,1,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Black Carbon,0.8,1,0.9,,,
Summer 2012,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.9,1.6,1.2,,,
Summer 2013,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.9,1.5,1.1,,,
Summer 2014,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.5,1.1,,,
Summer 2015,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.5,1.1,,,
Summer 2016,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.4,1,,,
Summer 2017,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.9,1.3,1,,,
Summer 2018,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.2,0.9,,,
Winter 2012-13,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.4,1,,,
Winter 2013-14,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.9,1.5,1.1,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.4,1,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.7,1.3,0.9,,,
Winter 2016-17,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.1,0.9,,,
Winter 2017-18,Neighborhood (UHF 34),Queens, West Queens,402,Black Carbon,0.8,1.2,0.9,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.9,1.6,1.2,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.9,1.6,1.2,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.6,1.1,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.5,1.1,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.5,1.1,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.4,1,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.3,1,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.4,1,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.7,1.5,1,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.7,1.4,1,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.7,1.4,1,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.7,1.2,0.9,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Black Carbon,0.8,1.3,1,,,
Summer 2012,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.8,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.8,1.1,1,,,
Summer 2014,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,0.9,0.8,,,
Summer 2015,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,1,0.9,,,
Summer 2016,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.6,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.6,0.8,0.7,,,
Summer 2018,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,0.8,0.8,,,
Winter 2012-13,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.9,1.2,1,,,
Winter 2014-15,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.7,1,0.9,,,
Winter 2016-17,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.6,0.8,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Black Carbon,0.6,0.7,0.7,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.9,1.1,1,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.9,1.2,1,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1,0.9,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1,0.9,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,0.9,0.8,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,1,0.8,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,0.8,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,0.9,0.8,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.8,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.9,1.1,1,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.9,0.7,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.7,0.6,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.7,0.7,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.9,1,0.9,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.8,0.9,0.9,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.8,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.9,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.7,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.8,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.6,0.7,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Black Carbon,0.6,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1.1,0.8,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,1,0.7,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,0.9,0.7,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.4,0.8,0.6,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1,0.8,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,0.9,0.7,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.4,0.8,0.6,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.6,,,
Summer 2012,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.3,1.3,,,
Summer 2013,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.4,1.3,,,
Summer 2014,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.4,1.3,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.3,1.2,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.3,1.1,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.2,1.2,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,1,0.9,,,
Winter 2012-13,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.6,1.5,,,
Winter 2013-14,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.2,1.1,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,1,1,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,0.9,0.9,,,
Summer 2012,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.3,2,1.7,,,
Summer 2013,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.3,2.1,1.8,,,
Summer 2014,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.3,2.1,1.8,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.3,2,1.6,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.2,2,1.6,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.1,1.5,1.3,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.2,1.8,1.5,,,
Winter 2012-13,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.3,2,1.7,,,
Winter 2013-14,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.4,2,1.7,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.2,1.8,1.5,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1.1,1.8,1.5,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,0.9,1.2,1.1,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Black Carbon,1,1.5,1.3,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.8,0.9,0.8,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.7,0.9,0.8,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.6,0.6,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.8,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Summer 2012,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.2,1.4,1.3,,,
Summer 2013,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.2,1.5,1.3,,,
Summer 2014,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.1,1.4,1.3,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.1,1.4,1.2,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1,1.3,1.1,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1,1.3,1.1,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,0.9,1.1,1,,,
Winter 2012-13,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.4,1.7,1.5,,,
Winter 2013-14,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.3,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1.1,1.3,1.1,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,0.9,1.1,1,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Black Carbon,0.8,1,0.9,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1.1,1.5,1.3,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1.1,1.4,1.2,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.2,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.1,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.3,1.1,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.1,1,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.2,1,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.3,1.1,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.1,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.3,1.1,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.2,1,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.7,1,0.8,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.8,1.1,0.9,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.9,1.1,1,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,1,0.9,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,1,0.8,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,0.9,0.8,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.6,0.7,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2013,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2014,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2015,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.1,1.3,1.2,,,
Summer 2016,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.1,1.3,1.2,,,
Summer 2017,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1,1.2,1.1,,,
Summer 2018,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,0.8,1,0.9,,,
Winter 2012-13,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.3,1.5,1.4,,,
Winter 2013-14,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.3,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1.1,1.2,1.1,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,0.8,1,0.9,,,
Winter 2017-18,Neighborhood (UHF 42),Manhattan, East Harlem,303,Black Carbon,0.8,0.9,0.9,,,
Summer 2012,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.9,1.3,1,,,
Summer 2013,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.8,1.2,1,,,
Summer 2014,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2015,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2016,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2017,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1,0.8,,,
Summer 2018,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,0.9,0.8,,,
Winter 2012-13,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.8,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Winter 2016-17,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.6,0.9,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Brooklyn, East New York,204,Black Carbon,0.7,0.9,0.8,,,
Summer 2012,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.8,1.2,1,,,
Summer 2013,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.8,1.2,1,,,
Summer 2014,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1.1,0.9,,,
Summer 2015,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1.1,0.9,,,
Summer 2016,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1,0.8,,,
Summer 2017,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1,0.8,,,
Summer 2018,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,0.9,0.8,,,
Winter 2012-13,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.8,1.1,0.9,,,
Winter 2013-14,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.9,1.3,1.1,,,
Winter 2014-15,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1,0.8,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,1,0.8,,,
Winter 2016-17,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.6,0.9,0.7,,,
Winter 2017-18,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Black Carbon,0.7,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,1,1.2,1.1,,,
Summer 2013,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,1,1.3,1.1,,,
Summer 2014,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.9,1.2,1.1,,,
Summer 2015,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.9,1.2,1,,,
Summer 2016,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.8,1.1,0.9,,,
Summer 2017,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.9,1.2,1.1,,,
Summer 2018,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.8,1,0.9,,,
Winter 2012-13,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,1.2,1.5,1.3,,,
Winter 2013-14,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,1,1.3,1.1,,,
Winter 2014-15,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.9,1.1,1,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.8,1,0.9,,,
Winter 2016-17,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.8,1,0.9,,,
Winter 2017-18,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Black Carbon,0.8,1,0.9,,,
