Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2015-16,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),23.6,32.3,27.5,,,
Winter 2016-17,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),26.4,34.5,29.7,,,
Winter 2017-18,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),25.3,33.2,28.6,,,
Winter 2018-19,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),22.7,30,26,,,
Summer 2013,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),11.6,18.9,15.6,,,
Summer 2014,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),10,17.2,13.7,,,
Summer 2015,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),9.9,16.8,13.5,,,
Summer 2016,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),9.7,16.1,13.1,,,
Summer 2017,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),10,16.4,13.4,,,
Summer 2018,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),9.5,15.3,12.5,,,
Summer 2019,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),10.1,16,13.1,,,
Winter 2013-14,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),23.6,29.9,26.8,,,
Winter 2014-15,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),21.1,26.6,23.9,,,
Winter 2015-16,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),19.2,25.4,22.4,,,
Winter 2016-17,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),22.1,27.2,24.8,,,
Winter 2017-18,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),19.8,27,23.5,,,
Winter 2018-19,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),16.5,24.6,20.4,,,
Summer 2013,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),6.3,14.7,10,,,
Summer 2014,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),6.1,13.2,9.3,,,
Summer 2015,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),5.4,13.2,8.8,,,
Summer 2016,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),5.3,13.8,9.2,,,
Summer 2017,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),6.4,13.2,9.4,,,
Summer 2018,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),5.2,12.2,8.2,,,
Summer 2019,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),6.6,13.9,9.8,,,
Winter 2013-14,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),19.1,25.1,21.8,,,
Winter 2014-15,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),16.9,23.3,19.8,,,
Winter 2015-16,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),15.3,21.6,18.1,,,
Winter 2016-17,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),16.1,22,18.7,,,
Winter 2017-18,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),16.1,22.6,18.9,,,
Winter 2018-19,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),12.9,20,16.1,,,
Summer 2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitrogen Dioxide (NO2),10.4,15.3,13.2,,,
Summer 2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitrogen Dioxide (NO2),10.5,15.2,13.1,,,
Summer 2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitrogen Dioxide (NO2),10.3,15.3,13.1,,,
